shot,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Product weight g
2,800.85986,0.62800,28.24119,567.70630,567.70630,0.36000,19.96404,1.92400,187.50000,193.30000,199.50000,204.80000,209.80000,44.20000,0.66400,14.2367
3,800.67542,0.78200,28.24119,600.05505,600.05505,0.36000,19.95385,1.92800,187.10001,192.60001,199.10001,204.80000,209.80000,43.90000,0.66600,14.2388
4,800.67542,0.68200,28.24119,623.95233,623.95233,0.36000,19.98443,1.94600,187.10001,191.80000,198.80000,204.80000,209.80000,43.50000,0.66000,14.2395
5,800.49097,0.67800,28.24119,638.91241,638.91241,0.36000,20.00482,1.97200,187.00000,191.30000,198.50000,205.00000,209.80000,43.40000,0.66200,14.2319
6,800.67542,0.68400,28.24119,649.50104,649.50104,0.36000,20.06088,1.99200,187.00000,190.60001,198.10001,205.00000,209.80000,43.00000,0.66400,14.2296
7,800.67542,0.69200,28.24119,640.07813,640.07813,0.36000,20.13224,1.98800,187.00000,190.50000,198.10001,205.00000,210.00000,42.90000,0.66400,14.2265
8,800.85986,0.69000,28.24119,647.26672,647.26672,0.36000,20.19340,1.99400,187.10001,190.50000,198.10001,204.80000,209.80000,42.50000,0.66200,14.2335
9,800.85986,0.61000,28.24119,647.36389,647.36389,0.36000,20.16791,2.00000,187.10001,190.60001,198.10001,204.80000,210.00000,42.20000,0.66400,14.2318
10,800.85986,0.69800,28.24119,652.70679,652.70679,0.36000,20.14753,2.00400,187.10001,191.00000,198.10001,204.80000,209.80000,41.90000,0.66200,14.2361
11,801.04431,0.74400,28.24119,661.44971,661.44971,0.36000,20.16791,2.01400,187.10001,191.30000,198.30000,204.80000,209.80000,41.70000,0.66600,14.2341
12,801.22870,0.97600,28.24119,669.31830,669.31830,0.36000,20.14243,2.00600,187.30000,191.30000,198.50000,204.80000,210.00000,41.20000,0.66600,14.2339
13,801.22870,0.79200,28.24119,669.02686,669.02686,0.36000,20.14243,1.99800,187.30000,191.60001,198.50000,204.80000,210.00000,41.20000,0.66600,14.2356
14,801.22870,1.36200,28.24119,670.58118,670.58118,0.36000,20.16282,2.02200,187.30000,192.00000,198.60001,204.80000,210.00000,41.00000,0.66600,14.2322
15,801.22870,0.74400,28.24119,666.20972,666.20972,0.36000,20.17301,2.01000,187.30000,192.10001,198.50000,205.00000,210.00000,40.70000,0.66200,14.2348
16,801.04431,0.82000,28.24119,667.76404,667.76404,0.36000,20.17301,1.99200,187.30000,192.50000,198.60001,205.00000,210.00000,40.50000,0.66200,14.2315
17,801.41315,0.82200,28.24119,670.58118,670.58118,0.36000,20.18320,1.99200,187.10001,192.50000,198.60001,205.00000,210.00000,40.40000,0.66600,14.2311
18,801.41315,0.88000,28.24119,663.00397,663.00397,0.36000,20.12714,2.00800,187.30000,192.30000,198.50000,205.00000,210.00000,40.20000,0.66400,14.2307
19,801.41315,0.70600,28.24119,664.84973,664.84973,0.36000,20.12204,1.98800,187.50000,192.60001,198.60001,204.80000,210.00000,40.20000,0.66200,14.2374
20,801.41315,0.75800,28.24119,667.27832,667.27832,0.36000,20.18830,1.99400,187.60001,192.80000,198.80000,204.80000,210.00000,40.00000,0.65800,14.2324
21,801.59760,0.83000,28.24119,663.68402,663.68402,0.36000,20.14753,1.99200,187.80000,192.60001,198.80000,204.80000,210.00000,40.20000,0.66400,14.2313
